Trade #,Direction,Entry Price,Entry Time,Exit Price,Exit Time,PnL,Balance4
32,SHORT,92186.72,2025-12-10 19:00:00,92939.53,2025-12-10 19:10:00,-82.69,9568.09
33,LONG,92939.53,2025-12-10 19:10:00,93288.06,2025-12-10 20:50:00,32.03,9596.29
34,SHORT,93288.06,2025-12-10 20:50:00,92205.16,2025-12-10 22:20:00,107.55,9700.00
35,LONG,92561.83,2025-12-10 18:30:00,92186.72,2025-12-10 19:00:00,-43.16,9652.96
36,SHORT,92186.72,2025-12-10 19:00:00,92918.51,2025-12-10 19:10:00,-80.48,9568.63
37,LONG,92918.51,2025-12-10 19:10:00,93256.52,2025-12-10 20:50:00,30.96,9595.76
38,SHORT,93256.52,2025-12-10 20:50:00,92205.16,2025-12-10 22:20:00,104.33,9696.26
39,LONG,92591.42,2025-12-10 18:35:00,92186.72,2025-12-10 19:00:00,-46.23,9646.15
40,SHORT,92186.72,2025-12-10 19:00:00,92977.67,2025-12-10 19:10:00,-86.61,9555.68
41,LONG,92977.67,2025-12-10 19:10:00,93345.26,2025-12-10 20:50:00,33.93,9585.79
42,SHORT,93345.26,2025-12-10 20:50:00,92205.16,2025-12-10 21:05:00,113.23,9695.20
43,LONG,92581.40,2025-12-10 18:35:00,92186.72,2025-12-10 19:00:00,-45.18,9646.14
44,SHORT,92186.72,2025-12-10 19:00:00,92957.64,2025-12-10 19:10:00,-84.52,9557.77
45,LONG,92957.64,2025-12-10 19:10:00,93315.22,2025-12-10 20:50:00,32.92,9586.86
46,SHORT,93315.22,2025-12-10 20:50:00,92205.16,2025-12-10 22:20:00,110.20,9693.23
47,LONG,92570.68,2025-12-10 18:35:00,92186.72,2025-12-10 19:00:00,-44.05,9645.30
48,SHORT,92186.72,2025-12-10 19:00:00,92936.20,2025-12-10 19:10:00,-82.27,9559.18
49,LONG,92936.20,2025-12-10 19:10:00,93283.07,2025-12-10 20:50:00,31.83,9587.
1,LONG,93609.33,2025-12-10 20:10:00,92186.72,2025-12-10 21:05:00,-155.87,9840.14
2,SHORT,92186.72,2025-12-10 21:05:00,92205.16,2025-12-10 21:05:00,-5.90,9830.30
3,LONG,93608.86,2025-12-10 20:10:00,92186.72,2025-12-10 21:05:00,-153.17,9673.20
4,SHORT,92186.72,2025-12-10 21:05:00,92205.16,2025-12-10 21:05:00,-5.80,9663.53
5,LONG,93582.44,2025-12-10 20:10:00,92186.72,2025-12-10 21:05:00,-147.89,9511.77
6,SHORT,92186.72,2025-12-10 21:05:00,92205.16,2025-12-10 21:05:00,-5.71,9502.27
7,LONG,93492.09,2025-12-10 20:05:00,92830.06,2025-12-10 20:50:00,-71.04,9427.43
8,SHORT,92830.06,2025-12-10 20:50:00,92205.16,2025-12-10 21:05:00,59.69,9483.34
9,LONG,93163.10,2025-12-10 20:05:00,93144.47,2025-12-10 20:50:00,-5.69,9473.86
10,SHORT,93144.47,2025-12-10 20:50:00,92205.16,2025-12-10 21:05:00,91.74,9561.82
11,LONG,93134.94,2025-12-10 19:30:00,93116.31,2025-12-10 20:50:00,-5.73,9552.26
12,SHORT,93116.31,2025-12-10 20:50:00,92205.16,2025-12-10 21:05:00,89.64,9638.08
13,LONG,92623.41,2025-12-10 18:35:00,93023.05,2025-12-10 20:50:00,37.70,9671.93
